name,rent,area,x,y,rent/area
三和花园,10000 ,120.5 ,121.4354883,31.23039355,83
亿润苑,7000 ,118.6 ,121.4358301,31.28820027,59
花木苑,3706 ,67.4 ,121.5396224,31.21236288,55
天香公寓,11000 ,119.6 ,121.4436453,31.24228652,92
虹口玫瑰苑,10175 ,128.8 ,121.4740926,31.29839002,79
文怡苑,4994 ,87.6 ,121.6010612,31.14071071,57
康林公寓,3988 ,78.2 ,121.5774332,31.10645952,51
白金府邸,20000 ,208.3 ,121.4900736,31.25221738,96
菊泉新村,2964 ,51.1 ,121.368245,31.35887795,58
春江花悦园,4850 ,72.4 ,121.6047476,31.28856009,67
新洲豪园,5500 ,96.5 ,121.6811803,31.20167502,57
陆家嘴国际华城,17064 ,203.1 ,121.5306863,31.2379421,84
龙南公寓,7480 ,92.3 ,121.4522973,31.15693971,81
沧海苑,7000 ,56.0 ,121.4853345,31.21833843,125
申金大厦,14483 ,143.4 ,121.5059885,31.23123184,101
金露苑,13567 ,149.1 ,121.5375427,31.23834106,91
九九园,27500 ,257.0 ,121.4146266,31.19536886,107
临园小区,3696 ,53.6 ,121.6947635,31.19415467,69
金芝苑,5000 ,56.8 ,121.5783533,31.25200609,88
星霞苑,8580 ,80.9 ,121.3836568,31.20859842,106
栖山苑,8800 ,104.8 ,121.5695115,31.26368489,84
中紫小区,6893 ,56.0 ,121.4060816,31.2087813,123
枫景苑,9240 ,83.2 ,121.4518281,31.26508939,111
文定天下苑,9250 ,75.2 ,121.426066,31.1861822,123
银星名庭,7700 ,71.3 ,121.4326143,31.17114184,108
怒江小区,4400 ,40.0 ,121.3932953,31.2375496,110
奎江公寓,7150 ,66.8 ,121.4620777,31.30185855,107
万华小区,9900 ,81.8 ,121.4147296,31.22654587,121
曹家巷小区,6108 ,42.7 ,121.4065495,31.23007643,143
康平小区,3584 ,26.9 ,121.4450878,31.31320207,133
武宁一村,5258 ,36.0 ,121.4209171,31.24136818,146
华强公寓,9900 ,65.1 ,121.441325,31.2051934,152
振兴大楼,13200 ,69.1 ,121.4648351,31.22959223,191
淮新大楼,7150 ,43.9 ,121.4254295,31.20224171,163
杨思水境园,6820 ,44.9 ,121.491415,31.16442408,152
